versao;item;estimulo;ImagemfileA;ImagefileB
1;"""1DUL""";"""BANCO E_MESA_MUITO_VERDE""";"""1FDU.png""";"""1FDD.png"""
1;"""2DDL""";"""CADERNO_E_LIVRO BEM_VERDE""";"""2FDD.png""";"""2FDU.png"""
1;"""3DUC""";"""SOFÁ E_MESA VERDE""";"""3FDD.png""";"""3FDU.png"""
1;"""4DUL""";"""CASACO E_VESTIDO_BEM_VERMELHO""";"""4FDU.png""";"""4FDD.png"""
1;"""5DDC""";"""BLUSA E_GRAVATA_VERMELHA""";"""5FDU.png""";"""5FDD.png"""
1;"""6DUC""";"""DOCES DELICIOSOS_DE_MORANGO""";"""6FDD.png""";"""6FDU.png"""
1;"""7DDL""";"""GELADEIRA_E_FOGÃO BEM_AZUL""";"""7FDD.png""";"""7FDU.png"""
1;"""8DDC""";"""LAÇO E_CHAPÉU_AZUL""";"""8FDU.png""";"""8FDD.png"""
1;"""9DUL""";"""MAIÔ EBIQUINI_BEM_LISTRADO""";"""9FDU.png""";"""9FDD.png"""
1;"""10DDL""";"""SANDÁLIA_E_BOTA BEM_MARROM""";"""10FDD.png""";"""10FDU.png"""
1;"""11DUC""";"""SAPATO E_CHAPÉU LARANJA""";"""11FDD.png""";"""11FDU.png"""
1;"""12DUL""";"""TORTA E_BOLO_DE_MORANGO_MADURO""";"""12FDU.png""";"""12FDD.png"""
1;"""13DDC""";"""CAMISA_E_MEIA COLORIDA""";"""13FDU.png""";"""13FDD.png"""
1;"""14DUC""";"""TELEVISÃO E_RÁDIO_ENORMES""";"""14FDD.png""";"""14FDU.png"""
1;"""15DDL""";"""ARMÁRIOS_DE_COZINHA BEM_VERMELHO""";"""15FDD.png""";"""15FDU.png"""
1;"""16DDC""";"""BONÉ_E_VESTIDO PRETO""";"""16FDU.png""";"""16FDD.png"""
2;"""1DUC""";"""BANCO E_MESA_VERDE""";"""1FDD.png""";"""1FDU.png"""
2;"""2DUL""";"""CADERNO E_LIVRO_BEM_VERDE""";"""2FDU.png""";"""2FDD.png"""
2;"""3DDC""";"""SOFÁ_E_MESA VERDE""";"""3FDU.png""";"""3FDD.png"""
2;"""4DUC""";"""CASACO E_VESTIDO_VERMELHO""";"""4FDD.png""";"""4FDU.png"""
2;"""2DUL""";"""GAROTA DE_MOCHILA_EXTREMAMENTE_PEQUENA""";"""2FEU.png""";"""2FED.png"""
2;"""5DDL""";"""BLUSA_E_GRAVATA BEM_VERMELHA""";"""5FDD.png""";"""5FDU.png"""
2;"""6DDC""";"""DOCES_DELICIOSOS DE_MORANGO""";"""6FDU.png""";"""6FDD.png"""
2;"""7DUC""";"""GELADEIRA E_FOGÃO_AZUL""";"""7FDU.png""";"""7FDD.png"""
2;"""8DDL""";"""LAÇO_E_CHAPÉU BEM_AZUL""";"""8FDD.png""";"""8FDU.png"""
2;"""9DUC""";"""MAIÔ E_BIQUINI_LISTRADO""";"""9FDD.png""";"""9FDU.png"""
2;"""10DUL""";"""SANDÁLIA E_BOTA_BEM_MARROM""";"""10FDU.png""";"""10FDD.png"""
2;"""11DDC""";"""SAPATO_E_CHAPÉU LARANJA""";"""11FDU.png""";"""11FDD.png"""
2;"""12DUC""";"""TORTA E_BOLO DE_MORANGO""";"""12FDD.png""";"""12FDU.png"""
2;"""13DDL""";"""CAMISA_E_MEIA BEM_COLORIDA""";"""13FDD.png""";"""13FDU.png"""
2;"""14DDC""";"""TELEVISÃO_E_RÁDIO ENORMES""";"""14FDU.png""";"""14FDD.png"""
2;"""15DUL""";"""ARMÁRIOS DE_COZINHA_BEM_VERMELHO""";"""15FDU.png""";"""15FDD.png"""
2;"""16DDL""";"""BONÉ_E_VESTIDO MUITO_PRETO""";"""16FDD.png""";"""16FDU.png"""
3;"""1DDC""";"""BANCO_E_MESA VERDE""";"""1FDU.png""";"""1FDD.png"""
3;"""2DUC""";"""CADERNO E_LIVRO_VERDE""";"""2FDD.png""";"""2FDU.png"""
3;"""3DDL""";"""SOFÁ_E_MESA BEM_VERDE""";"""3FDD.png""";"""3FDU.png"""
3;"""4DDC""";"""CASACO_E_VESTIDO VERMELHO""";"""4FDU.png""";"""4FDD.png"""
3;"""2DUC""";"""GAROTA DE_MOCHILA_PEQUENA""";"""2FED.png""";"""2FEU.png"""
3;"""5DUL""";"""BLUSA E_GRAVATA_MUITO_VERMELHA""";"""5FDU.png""";"""5FDD.png"""
3;"""6DDL""";"""DOCES_DELICIOSOS DE_MORANGO""";"""6FDD.png""";"""6FDU.png"""
3;"""7DUC""";"""GELADEIRA E_FOGÃO_AZUL""";"""7FDD.png""";"""7FDU.png"""
3;"""8DUL""";"""LAÇO E_CHAPÉU_BEM_AZUL""";"""8FDU.png""";"""8FDD.png"""
3;"""9DDC""";"""MAIÔ_E_BIQUINI LISTRADO""";"""9FDU.png""";"""9FDD.png"""
3;"""10DUC""";"""SANDÁLIA E_BOTA_MARROM""";"""10FDD.png""";"""10FDU.png"""
3;"""11DDL""";"SAPATO_E_CHAPÉU BEM_LARANJA""";"""11FDD.png""";"""11FDU.png"""
3;"""12DDC""";"""TORTA_E_BOLO DE_MORANGO""";"""12FDU.png""";"""12FDD.png"""
3;"""13DUL""";"""CAMISA E_MEIA_MUITO_COLORIDA""";"""13FDU.png""";"""13FDD.png"""
3;"""14DDL""";"""TELEVISÃO_E_RÁDIO BEM_ENORMES""";"""14FDD.png""";"""14FDU.png"""
3;"""15DUC""";"""ARMÁRIOS DE_COZINHA_VERMELHO""";"""15FDD.png""";"""15FDU.png"""
3;"""16DUL""";"BONÉ E_VESTIDO_MUITO_PRETO""";"""16FDU.png""";"""16FDD.png"""
4;"""1DDL""";"""BANCO_E_MESA BEM_VERDE""";"""1FDD.png""";"""1FDU.png"""
4;"""2DDC""";"""CADERNO_E_LIVRO VERDE""";"""2FDU.png""";"""2FDD.png"""
4;"""3DUL""";"""SOFÁ E_MESA_BEM_VERDE""";"""3FDU.png""";"""3FDD.png"""
4;"""4DDL""";"""CASACO_E_VESTIDO BEM_VERMELHO""";"""4FDD.png""";"""4FDU.png"""
4;"""5DUC""";"""BLUSA E_GRAVATA_VERMELHA""";"""5FDD.png""";"""5FDU.png"""
4;"""6DUL""";"""DOCES DELICIOSOS_DE_MORANGO_MADURO""";"""6FDU.png""";"""6FDD.png"""
4;"""3DDL""";"""PRINCESA_DE_COROA VISIVELMENTE_PEQUENA""";"""3FED.png""";"""3FEU.png"""
4;"""7DDC""";"""GELADEIRA_E_FOGÃO AZUL""";"""7FDU.png""";"""7FDD.png"""
4;"""8DUC""";"""LAÇO E_CHAPÉU_AZUL""";"""8FDD.png""";"""8FDU.png"""
4;"""9DDL""";"""MAIÔ_E_BIQUINI MUITO_LISTRADO""";"""9FDD.png""";"""9FDU.png"""
4;"""10DDC""";"""SANDÁLIA_E_BOTA MARROM""";"""10FDU.png""";"""10FDD.png"""
4;"""11DUL""";"""SAPATO E_CHAPÉU_BEM_LARANJA""";"""11FDU.png""";"""11FDD.png"""
4;"""12DDL""";"""TORTA_E_BOLO DE_MORANGO_MADURO""";"""12FDD.png""";"""12FDU.png"""
4;"""13DUC""";"""CAMISA E_MEIA_COLORIDA""";"""13FDD.png""";"""13FDU.png"""
4;"""14DUL""";"""TELEVISÃO E_RÁDIO_BEM_ENORMES""";"""14FDU.png""";"""14FDD.png"""
4;"""15DDC""";"""ARMÁRIOS_DE_COZINHA VERMELHO""";"""15FDU.png""";"""15FDD.png"""
